时间: 2024/12/1 01:32:57, test电机: 1500, yaw电机: 0
时间: 3/23/2025, 3:29:01 PM, test电机: 1600, yaw电机: 100
时间: 3/23/2025, 3:30:53 PM, test电机: 1500, yaw电机: 0
时间: 3/23/2025, 4:56:44 PM, test电机: 1500, yaw电机: 100
时间: 3/23/2025, 4:56:49 PM, test电机: 1500, yaw电机: -100
时间: 3/23/2025, 4:56:56 PM, test电机: 1500, yaw电机: 0
时间: 3/23/2025, 4:57:50 PM, test电机: 1500, yaw电机: -500
时间: 3/23/2025, 4:57:57 PM, test电机: 1500, yaw电机: 0
时间: 3/23/2025, 4:58:26 PM, test电机: 1500, yaw电机: -100
时间: 3/23/2025, 5:07:44 PM, test电机: 1500, yaw电机: 100
时间: 3/23/2025, 5:07:51 PM, test电机: 1500, yaw电机: 0
时间: 3/23/2025, 5:08:59 PM, test电机: 1500, yaw电机: 1000
时间: 3/23/2025, 5:09:32 PM, test电机: 1500, yaw电机: 0
时间: 3/23/2025, 5:18:21 PM, test电机: 1500, yaw电机: 500
时间: 3/23/2025, 5:18:27 PM, test电机: 1500, yaw电机: 0
时间: 3/23/2025, 5:18:52 PM, test电机: 1500, yaw电机: 500
时间: 3/23/2025, 5:18:59 PM, test电机: 1500, yaw电机: 800
时间: 3/23/2025, 5:19:07 PM, test电机: 1500, yaw电机: 0
时间: 3/23/2025, 5:19:43 PM, test电机: 3000, yaw电机: 0
时间: 3/23/2025, 5:19:56 PM, test电机: 4000, yaw电机: 0
时间: 3/23/2025, 5:55:08 PM, test电机: 3500, yaw电机: 200
时间: 3/23/2025, 5:55:17 PM, test电机: 3500, yaw电机: 0
时间: 3/23/2025, 5:55:40 PM, test电机: 3500, yaw电机: 500
时间: 3/23/2025, 5:55:49 PM, test电机: 3500, yaw电机: 0
时间: 3/23/2025, 5:56:15 PM, test电机: 3500, yaw电机: 300
时间: 3/23/2025, 5:56:24 PM, test电机: 3500, yaw电机: 500
时间: 3/23/2025, 5:58:10 PM, test电机: 3500, yaw电机: 400
时间: 3/23/2025, 5:58:17 PM, test电机: 3500, yaw电机: 350
时间: 3/23/2025, 5:58:46 PM, test电机: 3500, yaw电机: 0
时间: 3/23/2025, 5:59:27 PM, test电机: 3600, yaw电机: 350
时间: 3/23/2025, 6:01:23 PM, test电机: 3700, yaw电机: 350
时间: 3/23/2025, 6:32:13 PM, test电机: 3700, yaw电机: 300
时间: 3/23/2025, 6:32:19 PM, test电机: 3700, yaw电机: 400
时间: 3/23/2025, 6:32:25 PM, test电机: 3700, yaw电机: 450
时间: 3/23/2025, 6:32:48 PM, test电机: 3900, yaw电机: 450
时间: 3/23/2025, 6:33:13 PM, test电机: 3900, yaw电机: 430
时间: 3/23/2025, 6:43:58 PM, test电机: 4100, yaw电机: 430
时间: 3/23/2025, 6:44:06 PM, test电机: 4200, yaw电机: 430
时间: 3/23/2025, 7:07:26 PM, test电机: 4200, yaw电机: 500
时间: 3/23/2025, 7:07:33 PM, test电机: 4200, yaw电机: 250
时间: 3/23/2025, 7:07:40 PM, test电机: 4200, yaw电机: 150
时间: 3/23/2025, 7:07:45 PM, test电机: 4500, yaw电机: 150
时间: 3/23/2025, 7:07:53 PM, test电机: 4500, yaw电机: 100
时间: 3/23/2025, 9:18:47 PM, test电机: 4500, yaw电机: 300
时间: 3/23/2025, 9:18:54 PM, test电机: 4500, yaw电机: -300
时间: 3/23/2025, 9:19:01 PM, test电机: 4500, yaw电机: -500
时间: 3/23/2025, 9:33:34 PM, test电机: 4000, yaw电机: 300
时间: 3/23/2025, 9:33:41 PM, test电机: 4000, yaw电机: 1000
时间: 3/23/2025, 9:33:55 PM, test电机: 4500, yaw电机: 1000
时间: 3/23/2025, 9:37:22 PM, test电机: 4500, yaw电机: 0
时间: 3/23/2025, 9:58:43 PM, test电机: 4500, yaw电机: 800
时间: 3/23/2025, 9:59:16 PM, test电机: 4500, yaw电机: 600
时间: 3/23/2025, 9:59:31 PM, test电机: 4500, yaw电机: 700
时间: 3/23/2025, 10:00:15 PM, test电机: 4400, yaw电机: 700
时间: 3/23/2025, 10:10:25 PM, test电机: 4200, yaw电机: 700
时间: 3/23/2025, 10:10:34 PM, test电机: 4100, yaw电机: 700
时间: 3/23/2025, 10:24:09 PM, test电机: 4100, yaw电机: 650
时间: 3/23/2025, 10:34:18 PM, test电机: 4100, yaw电机: 600
时间: 3/23/2025, 10:48:04 PM, test电机: 3900, yaw电机: 580
时间: 3/23/2025, 10:48:10 PM, test电机: 3900, yaw电机: 560
时间: 3/23/2025, 11:11:29 PM, test电机: 3500, yaw电机: 560
时间: 3/23/2025, 11:19:42 PM, test电机: 3500, yaw电机: 500
时间: 3/23/2025, 11:19:52 PM, test电机: 3500, yaw电机: 460
时间: 3/23/2025, 11:20:53 PM, test电机: 3500, yaw电机: 400
时间: 3/23/2025, 11:21:00 PM, test电机: 3500, yaw电机: 800
时间: 3/23/2025, 11:21:08 PM, test电机: 3500, yaw电机: 0
时间: 3/23/2025, 11:21:35 PM, test电机: 3500, yaw电机: -200
时间: 3/23/2025, 11:21:39 PM, test电机: 3500, yaw电机: 200
时间: 3/23/2025, 11:21:47 PM, test电机: 3500, yaw电机: 500
时间: 3/23/2025, 11:21:53 PM, test电机: 3500, yaw电机: 900
时间: 3/23/2025, 11:22:00 PM, test电机: 3500, yaw电机: 0
时间: 3/23/2025, 11:22:32 PM, test电机: 3500, yaw电机: -100
时间: 3/23/2025, 11:22:36 PM, test电机: 3500, yaw电机: 100
时间: 3/23/2025, 11:22:42 PM, test电机: 3500, yaw电机: 300
时间: 3/23/2025, 11:22:49 PM, test电机: 3500, yaw电机: 200
时间: 3/23/2025, 11:24:05 PM, test电机: 3500, yaw电机: -200
时间: 3/23/2025, 11:24:31 PM, test电机: 3500, yaw电机: 200
时间: 3/23/2025, 11:24:39 PM, test电机: 3500, yaw电机: 800
时间: 3/23/2025, 11:27:54 PM, test电机: 3500, yaw电机: 400
时间: 3/23/2025, 11:35:43 PM, test电机: 0, yaw电机: -500
时间: 3/23/2025, 11:35:51 PM, test电机: 3500, yaw电机: 0
时间: 3/23/2025, 11:36:26 PM, test电机: 3500, yaw电机: 1000
时间: 3/23/2025, 11:36:51 PM, test电机: 3500, yaw电机: -1000
时间: 3/23/2025, 11:45:23 PM, test电机: 3500, yaw电机: -1000
时间: 3/23/2025, 11:45:43 PM, test电机: 3500, yaw电机: -400
时间: 3/23/2025, 11:46:02 PM, test电机: 3500, yaw电机: 500
时间: 3/23/2025, 11:46:09 PM, test电机: 3500, yaw电机: 0
时间: 3/24/2025, 12:10:37 AM, test电机: 3500, yaw电机: 200
时间: 3/24/2025, 12:10:43 AM, test电机: 3500, yaw电机: 800
 时间: 3/24/2025, 12:10:51 AM, test电机: 3500, yaw电机: 0
时间: 3/24/2025, 12:11:04 AM, test电机: 3500, yaw电机: 200
时间: 3/24/2025, 12:11:11 AM, test电机: 3500, yaw电机: 400
时间: 3/24/2025, 12:11:20 AM, test电机: 3500, yaw电机: 300
时间: 3/24/2025, 12:13:19 AM, test电机: 3900, yaw电机: 300
时间: 3/24/2025, 12:13:28 AM, test电机: 3900, yaw电机: 400
时间: 3/24/2025, 12:14:13 AM, test电机: 3700, yaw电机: 400
时间: 3/24/2025, 1:00:24 AM, test电机: 3500, yaw电机: 400
时间: 3/24/2025, 1:02:55 AM, test电机: 3500, yaw电机: 200
时间: 3/24/2025, 1:03:05 AM, test电机: 3500, yaw电机: 400
时间: 3/24/2025, 1:13:01 AM, test电机: 3500, yaw电机: 450
时间: 3/24/2025, 1:13:09 AM, test电机: 3500, yaw电机: 500
时间: 3/24/2025, 1:13:16 AM, test电机: 3500, yaw电机: 600
时间: 3/24/2025, 1:13:23 AM, test电机: 3500, yaw电机: 550
时间: 3/24/2025, 1:25:04 AM, test电机: 3500, yaw电机: 400
时间: 3/24/2025, 1:25:11 AM, test电机: 3500, yaw电机: 350
时间: 3/24/2025, 1:57:18 AM, test电机: 3500, yaw电机: 400
时间: 3/24/2025, 1:57:24 AM, test电机: 3500, yaw电机: 450
时间: 3/24/2025, 2:00:38 AM, test电机: 3500, yaw电机: 400
时间: 3/24/2025, 2:09:26 AM, test电机: 3500, yaw电机: 450
时间: 3/24/2025, 2:09:34 AM, test电机: 3500, yaw电机: 350
时间: 3/24/2025, 2:09:39 AM, test电机: 3500, yaw电机: 300
时间: 3/24/2025, 2:09:45 AM, test电机: 3500, yaw电机: 320
时间: 3/24/2025, 2:23:49 AM, test电机: 3500, yaw电机: 340
时间: 3/24/2025, 2:23:54 AM, test电机: 3500, yaw电机: 300
时间: 3/24/2025, 2:24:00 AM, test电机: 3500, yaw电机: 270
时间: 3/24/2025, 2:24:05 AM, test电机: 3500, yaw电机: 250
时间: 3/24/2025, 3:25:32 AM, test电机: 3500, yaw电机: 0
时间: 3/24/2025, 3:25:38 AM, test电机: 3500, yaw电机: -300
时间: 3/24/2025, 3:25:45 AM, test电机: 3500, yaw电机: -500
时间: 3/24/2025, 3:25:56 AM, test电机: 500, yaw电机: -500
时间: 3/24/2025, 3:26:05 AM, test电机: 2000, yaw电机: -500
时间: 3/24/2025, 3:26:28 AM, test电机: 1000, yaw电机: 0
时间: 3/24/2025, 3:26:36 AM, test电机: 2000, yaw电机: 0
时间: 3/24/2025, 3:26:55 AM, test电机: 1000, yaw电机: 0
时间: 3/24/2025, 3:27:02 AM, test电机: 0, yaw电机: 0
时间: 3/24/2025, 3:28:03 AM, test电机: 0, yaw电机: -500
时间: 3/24/2025, 3:28:58 AM, test电机: 0, yaw电机: 500
时间: 3/24/2025, 3:29:03 AM, test电机: 0, yaw电机: -500
时间: 3/24/2025, 3:40:39 AM, test电机: 200, yaw电机: 0
时间: 3/24/2025, 4:09:22 AM, test电机: 1000, yaw电机: 0
时间: 3/24/2025, 4:10:00 AM, test电机: 2000, yaw电机: 1000
时间: 3/24/2025, 4:10:08 AM, test电机: 2000, yaw电机: -1000
时间: 3/24/2025, 4:10:22 AM, test电机: 2000, yaw电机: 0
时间: 3/24/2025, 4:23:46 AM, test电机: 3000, yaw电机: 0
时间: 3/24/2025, 4:24:37 AM, test电机: 4000, yaw电机: 0
时间: 3/24/2025, 4:26:20 AM, test电机: 5000, yaw电机: 0
时间: 3/24/2025, 4:26:28 AM, test电机: 6000, yaw电机: 0
时间: 3/24/2025, 4:26:58 AM, test电机: 7000, yaw电机: 0
时间: 3/24/2025, 4:28:42 AM, test电机: 4000, yaw电机: 0
时间: 3/24/2025, 12:32:31 PM, test电机: 4000, yaw电机: 200
时间: 3/24/2025, 12:32:39 PM, test电机: 4000, yaw电机: 0
时间: 3/24/2025, 12:32:58 PM, test电机: 4000, yaw电机: 500
时间: 3/24/2025, 12:33:05 PM, test电机: 4000, yaw电机: 0
时间: 3/24/2025, 12:41:01 PM, test电机: 4000, yaw电机: 500
时间: 3/24/2025, 12:41:08 PM, test电机: 4000, yaw电机: 1000
时间: 3/24/2025, 12:41:17 PM, test电机: 4000, yaw电机: 1000
时间: 3/24/2025, 12:41:45 PM, test电机: 4000, yaw电机: 4000
